ISSN	Titulo	Estrato	Classificação
1751-0147	ACTA VETERINARIA SCANDINAVICA (ONLINE)	A2	
0001-723X	ACTA VIROLOGICA (ENGLISH ED.)	B1	
1463-6395	ACTA ZOOLOGICA ONLINE	A3	
0001-7272	ACTA ZOOLOGICA (STOCKHOLM)	A3	
2357-8068	ACTAPESCA	B4	
1850-2032	ACTAS DE DISEÑO	A2	
2525-8923	ACTIO: DOCÊNCIA EM CIÊNCIAS	A1	
2447-0384	ACTIO: REVISTA DE ESTUDOS JURÍDICOS	C	
1698-4277	ACTUALIDAD EN FARMACOLOGÍA Y TERAPÉUTICA	B2	
2215-3535	ACTUALIDADES EN PSICOLOGÍA	A2	
0120-1700	ACTUALIDADES PEDAGÓGICAS	A3	
2076-0825	ACTUATORS	B1	
0964-5284	ACUPUNCTURE IN MEDICINE	A3	
2184-8033	AD AETERNUM	B1	
1570-8705	AD HOC NETWORKS	A1	
1808-8902	ADAPTA (RIO CLARO)	B1	
1059-7123	ADAPTIVE BEHAVIOR	A3	
1058-6989	ADDICTION RESEARCH	B4	
0306-4603	ADDICTIVE BEHAVIORS	A1	
2214-8604	ADDITIVE MANUFACTURING	A1	
1518-9929	ADM. MADE (UNIVERSIDADE ESTÁCIO DE SÁ)	B2	
2316-7548	ADMINISTRAÇÃO DE EMPRESAS EM REVISTA	B2	
2177-6083	ADMINISTRAÇÃO: ENSINO E PESQUISA	A3	
2358-0917	ADMINISTRAÇÃO: ENSINO E PESQUISA (RAEP)	A3	
2175-5787	ADMINISTRAÇÃO PÚBLICA E GESTÃO SOCIAL	A3	
2500-5227	ADMINISTRACIÓN Y DESARROLLO (VERSÃO DIGITAL)	A4	
1015-4833	ADMINISTRATIO PUBLICA	B2	
0095-3997	ADMINISTRATION & SOCIETY	A1	
2076-3387	ADMINISTRATIVE SCIENCES	C	
2237-5139	ADM.MADE	B2	
0929-5607	ADSORPTION (BOSTON)	A1	
2689-8209	ADVANCE RESEARCH ON ENDOCRINOLOGY & METABOLISM	B4	
2701-0198	ADVANCED BIOLOGY	A3	
0169-409X	ADVANCED DRUG DELIVERY REVIEWS	A1	
2119-0275	ADVANCED ELECTROMAGNETICS	B1	
2199-160X	ADVANCED ELECTRONIC MATERIALS	A2	
2699-9412	ADVANCED ENERGY AND SUSTAINABILITY RESEARCH	A1	
1614-6832	ADVANCED ENERGY MATERIALS	A1	
1527-2648	ADVANCED ENGINEERING MATERIALS	A3	
1616-301X	ADVANCED FUNCTIONAL MATERIALS (PRINT)	A1	
2192-2659	ADVANCED HEALTHCARE MATERIALS	A1	
2196-7350	ADVANCED MATERIALS INTERFACES	A1	
0976-3961	ADVANCED MATERIALS LETTERS	B1	
2002-4428	ADVANCED MATERIALS PROCEEDINGS	B2	
1662-8985	ADVANCED MATERIALS RESEARCH (ONLINE)	B4	
0935-9648	ADVANCED MATERIALS (WEINHEIM PRINT)	A1	
2699-9307	ADVANCED NANOBIOMED RESEARCH	A2	
0921-8831	ADVANCED POWDER TECHNOLOGY (PRINT)	A1	
2751-1219	ADVANCED SENSOR RESEARCH (ONLINE)	B3	
1313-1311	ADVANCED STUDIES IN THEORETICAL PHYSICS	A4	
0065-2113	ADVANCES IN AGRONOMY	A1	
2307-8316	ADVANCES IN ANIMAL AND VETERINARY SCIENCES	B1	
2163-9353	ADVANCES IN ANTHROPOLOGY	C	
2156-8502	ADVANCES IN BIOSCIENCE AND BIOTECHNOLOGY	C	
2156-8456	ADVANCES IN BIOSCIENCE AND BIOTECHNOLOGY (IMPRESSO)	C	
2474-7637	ADVANCES IN BIOTECHNOLOGY & MICROBIOLOGY	B4	
0951-7197	ADVANCES IN CEMENT RESEARCH	A3	
2160-0392	ADVANCES IN CHEMICAL ENGINEERING AND SCIENCE	C	
