ISSN	Titulo	Estrato	Classificação
1981-3384	BOLETIM DO TEMPO PRESENTE	B1	
2446-7251	BOLETIM GEOGRÁFICO DO RIO GRANDE DO SUL	A3	
1984-8501	BOLETIM GOIANO DE GEOGRAFIA (ONLINE)	A2	
0102-549X	BOLETIM TÉCNICO DO SENAC	A4	
0366-3175	BOLETÍN DE LA SOCIEDAD ESPAÑOLA DE CERÁMICA Y VIDRIO	A3	
2594-942X	BOMGEAM	B4	
0717-9200	BOSQUE	B1	
0006-8314	BOUNDARY - LAYER METEOROLOGY	A2	
1573-1472	BOUNDARY-LAYER METEOROLOGY (DORDRECHT. ONLINE)	A2	
1678-4499	BRAGANTIA.	A3	
2675-1712	BRASILIAN JOURNAL OF  AGROECOLOGY AND SUSTAINABILITY	C	
2595-3621	BRAZILIAN APPLIED SCIENCE REVIEW	C	
1516-8913	BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY (IMPRESSO)	A4	
1678-4324	BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY (ONLINE)	A4	
2179-2321	BRAZILIAN GEOGRAPHICAL JOURNAL: GEOSCIENCES AND HUMANITIES RESEARCH MEDIUM	A3	
2318-2407	BRAZILIAN JOURNAL OF AGRICULTURE - REVISTA DE AGRICULTURA	B4	
2179-3433	BRAZILIAN JOURNAL OF ANALYTICAL CHEMISTRY	B3	
2179-3425	BRAZILIAN JOURNAL OF ANALYTICAL CHEMISTRY (PRINT)	B3	
2595-573X	BRAZILIAN JOURNAL OF ANIMAL AND ENVIRONMENTAL RESEARCH	B4	
1808-7035	BRAZILIAN JOURNAL OF AQUATIC SCIENCE AND TECHNOLOGY (IMPRESSO)	C	
1983-9057	BRAZILIAN JOURNAL OF AQUATIC SCIENCE AND TECHNOLOGY (ONLINE)	C	
1519-6984	BRAZILIAN JOURNAL OF BIOLOGY (IMPRESSO)	A3	
1678-4375	BRAZILIAN JOURNAL OF BIOLOGY (ONLINE)	A3	
1806-9959	BRAZILIAN JOURNAL OF BOTANY	A4	
2596-1934	BRAZILIAN JOURNAL OF BUSINESS	C	
0104-6632	BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING (IMPRESSO)	A3	
1678-4383	BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING (ONLINE)	A3	
2525-8761	BRAZILIAN JOURNAL OF DEVELOPMENT	C	
1981-6723	BRAZILIAN JOURNAL OF FOOD TECHNOLOGY (ONLINE)	B2	
2317-4889	BRAZILIAN JOURNAL OF GEOLOGY	A2	
2317-4692	BRAZILIAN JOURNAL OF GEOLOGY	A2	
1809-4511	BRAZILIAN JOURNAL OF GEOPHYSICS	B2	
2596-321X	BRAZILIAN JOURNAL OF HEALTH AND PHARMACY	C	
2595-6825	BRAZILIAN JOURNAL OF HEALTH REVIEW	B3	
1414-431X	BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH	A3	
1517-8382	BRAZILIAN JOURNAL OF MICROBIOLOGY	A2	
2595-0584	BRAZILIAN JOURNAL OF NATURAL SCIENCES	B4	
1679-8759	BRAZILIAN JOURNAL OF OCEANOGRAPHY (IMPRESSO)	A4	
2237-8960	BRAZILIAN JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT	B3	
1679-8171	BRAZILIAN JOURNAL OF OPERATIONS AND PRODUCTION MANAGEMENT	B3	
1677-3225	BRAZILIAN JOURNAL OF ORAL SCIENCES (ONLINE)	B1	
1982-0593	BRAZILIAN JOURNAL OF PETROLEUM AND GAS	B2	
2447-5580	BRAZILIAN JOURNAL OF PRODUCTION ENGINEERING	B2	
2319-0612	BRAZILIAN JOURNAL OF RADIATION SCIENCES	B1	
2317-4404	BRAZILIAN JOURNAL OF SURGERY AND CLINICAL RESEARCH	B3	
2595-5748	BRAZILIAN JOURNAL OF TECHNOLOGY	C	
1807-3107	BRAZILIAN ORAL RESEARCH	A2	
1234-0987	BRAZILIAN REVIEW OF SOCIAL SCIENCES	C	
1573-2487	BRIDGE STRUCTURES (ABINGDON)	B3	
0007-070X	BRITISH FOOD JOURNAL (1966)	A1	
2231-0843	BRITISH JOURNAL OF APPLIED SCIENCE & TECHNOLOGY	B1	
1351-010X	BUILDING ACOUSTICS	A3	
0360-1323	BUILDING AND ENVIRONMENT	A1	
0961-3218	BUILDING RESEARCH AND INFORMATION (PRINT)	A1	
0143-6244	BUILDING SERVICES ENGINEERING RESEARCH & TECHNOLOGY	A3	
2075-5309	BUILDINGS	A1	
2044-124X	BUILT ENVIRONMENT PROJECT AND ASSET MANAGEMENT	B1	
0324-1130	BULGARIAN CHEMICAL COMMUNICATIONS	B3	
1435-9537	BULLETIN OF ENGINEERING GEOLOGY AND THE ENVIRONMENT (INTERNET)	A2	
