Title,Type,ISSN,ISSN_A,ISSN_B,SJR,HINDEX,JCR
Intractable and Rare Diseases Research,journal,"2186361X, 21863644",2186361X, 21863644,0.382,34,0.382
Journal of Cerebrovascular and Endovascular Neurosurgery,journal,"22873139, 22348565",22873139, 22348565,0.382,8,0.382
Journal of Polymer Engineering,journal,"21910340, 03346447",21910340, 03346447,0.382,39,0.382
Journal of Reproduction and Infertility,journal,"22285482, 2251676X",22285482, 2251676X,0.382,37,0.382
Latin American Journal of Central Banking,journal,26661438,26661438,,0.382,8,0.382
Longitudinal and Life Course Studies,journal,17579597,17579597,,0.382,23,0.382
Physica Status Solidi (B): Basic Research,journal,"15213951, 03701972",15213951, 03701972,0.382,124,0.382
Singapore Economic Review,journal,"17936837, 02175908",17936837, 02175908,0.382,32,0.382
"Proceedings - IEEE Consumer Communications and Networking Conference, CCNC",conference and proceedings,23319860,23319860,,0.382,14,0.382
Bulletin of the Council for Research in Music Education,journal,"21627223, 00109894",21627223, 00109894,0.381,24,0.381
Current Swedish Archaeology,journal,11027355,11027355,,0.381,16,0.381
Labor History,journal,"0023656X, 14699702",0023656X, 14699702,0.381,26,0.381
Monash Bioethics Review,journal,"18366716, 13212753",18366716, 13212753,0.381,20,0.381
American Journal of Economics and Sociology,journal,"00029246, 15367150",00029246, 15367150,0.381,50,0.381
Annals of Forest Research,journal,"18448135, 20652445",18448135, 20652445,0.381,27,0.381
Bulletin of the Geological Society of Finland,journal,"03675211, 17994632",03675211, 17994632,0.381,26,0.381
Environmental and Socio-Economic Studies,journal,23540079,23540079,,0.381,13,0.381
Erdkunde,journal,"00140015, 27025985",00140015, 27025985,0.381,42,0.381
Food Biotechnology,journal,"08905436, 15324249",08905436, 15324249,0.381,41,0.381
Frontiers in Horticulture,journal,28133595,28133595,,0.381,6,0.381
Georgetown Law Journal,journal,00168092,00168092,,0.381,59,0.381
Geotechnical Research,journal,20526156,20526156,,0.381,21,0.381
International Journal of Clinical Pediatric Dentistry,journal,"09751904, 09747052",09751904, 09747052,0.381,18,0.381
International Journal of Forestry Research,journal,"16879368, 16879376",16879368, 16879376,0.381,17,0.381
Journal of Technology Education,journal,10451064,10451064,,0.381,27,0.381
Medical Law International,journal,"20479441, 09685332",20479441, 09685332,0.381,15,0.381
Nematology,journal,"15685411, 13885545",15685411, 13885545,0.381,65,0.381
Plant Physiology Reports,journal,"26622548, 2662253X",26622548, 2662253X,0.381,31,0.381
Progress in Physics of Metals,journal,"16081021, 26170795",16081021, 26170795,0.381,16,0.381
Radio Science,journal,"00486604, 1944799X",00486604, 1944799X,0.381,96,0.381
Rudarsko Geolosko Naftni Zbornik,journal,"03534529, 18490409",03534529, 18490409,0.381,22,0.381
Sedimentary Record,journal,15438740,15438740,,0.381,2,0.381
Asia-Pacific Science Education,journal,23641177,23641177,,0.381,14,0.381
Biointerface Research in Applied Chemistry,journal,20695837,20695837,,0.381,40,0.381
Current Hepatology Reports,journal,21959595,21959595,,0.381,20,0.381
Environmental Quality Management,journal,"15206483, 10881913",15206483, 10881913,0.381,37,0.381
Journal of Knot Theory and its Ramifications,journal,"17936527, 02182165",17936527, 02182165,0.381,40,0.381
Mental Health and Social Inclusion,journal,"20428308, 20428316",20428308, 20428316,0.381,21,0.381
Proceedings of the International Geometry Center,journal,"24098906, 20729812",24098906, 20729812,0.381,5,0.381
"Annual Conference on Innovation and Technology in Computer Science Education, ITiCSE",conference and proceedings,1942647X,1942647X,,0.381,42,0.381
Creative Industries Journal,journal,"17510708, 17510694",17510708, 17510694,0.38,17,0.38
Russia in Global Affairs,journal,"18106374, 26189844",18106374, 26189844,0.38,9,0.38
Southern African Linguistics and Applied Language Studies,journal,"16073614, 17279461",16073614, 17279461,0.38,25,0.38
Advances in Environmental Accounting and Management,book series,14793598,14793598,,0.38,16,0.38
Arab Journal of Basic and Applied Sciences,journal,25765299,25765299,,0.38,42,0.38
Digital Government: Research and Practice,journal,26390175,26390175,,0.38,16,0.38
Italian Journal of Food Safety,journal,22397132,22397132,,0.38,26,0.38
Journal of Glaciology and Geocryology,journal,10000240,10000240,,0.38,17,0.38
Law and Policy,journal,"02658240, 14679930",02658240, 14679930,0.38,56,0.38
Obogashchenie Rud,journal,02023776,02023776,,0.38,15,0.38
Parasitologia,journal,26736772,26736772,,0.38,7,0.38
Proceedings of the Yorkshire Geological Society,journal,"20414811, 00440604",20414811, 00440604,0.38,24,0.38
Recreational Sports Journal,journal,"15588661, 1558867X",15588661, 1558867X,0.38,22,0.38
Studies in Political Economy,journal,"07078552, 19187033",07078552, 19187033,0.38,24,0.38
Austrian Journal of Earth Sciences,journal,"02517493, 20727151",02517493, 20727151,0.38,29,0.38
Basic Income Studies,journal,"19320183, 21946094",19320183, 21946094,0.38,16,0.38
Clinical and Translational Metabolism,journal,"29482445, 29482437",29482445, 29482437,0.38,32,0.38
Ecological Genetics and Genomics,journal,24059854,24059854,,0.38,16,0.38
Indian Pediatrics,journal,"09747559, 00196061",09747559, 00196061,0.38,63,0.38
Interactions (N.Y.),trade journal,"15583449, 10725520",15583449, 10725520,0.38,62,0.38
Journal of Visual Impairment and Blindness,journal,"15591476, 0145482X",15591476, 0145482X,0.38,52,0.38
Medicinal Chemistry,journal,"15734064, 18756638",15734064, 18756638,0.38,51,0.38
Ochsner Journal,journal,15245012,15245012,,0.38,52,0.38
Radiation Detection Technology and Methods,journal,"25099949, 25099930",25099949, 25099930,0.38,16,0.38
Review of Faith and International Affairs,journal,"19317743, 15570274",19317743, 15570274,0.379,21,0.379
Communications in Mathematics,journal,"18041388, 23361298",18041388, 23361298,0.379,9,0.379
Geospatial Health,journal,"19707096, 18271987",19707096, 18271987,0.379,44,0.379
Journal of International Logistics and Trade,journal,"25087592, 17382122",25087592, 17382122,0.379,9,0.379
"Journal of the Optical Society of America A: Optics and Image Science, and Vision",journal,"15208532, 10847529",15208532, 10847529,0.379,177,0.379
Journal of Zoo and Wildlife Medicine,journal,10427260,10427260,,0.379,56,0.379
Journal of Zoological and Botanical Gardens,journal,26735636,26735636,,0.379,12,0.379
Middle East Policy,journal,"14754967, 10611924",14754967, 10611924,0.379,35,0.379
Pharmaceutical Science Advances,journal,27732169,27732169,,0.379,6,0.379
Proceedings of the Institute of Mathematics and Mechanics,journal,"24094994, 24094986",24094994, 24094986,0.379,12,0.379
Tobacco Prevention and Cessation,journal,24593087,24593087,,0.379,20,0.379
Weed Biology and Management,journal,"14446162, 14456664",14446162, 14456664,0.379,46,0.379
Corrosion Engineering Science and Technology,journal,"1478422X, 17432782",1478422X, 17432782,0.379,53,0.379
Current Therapeutic Research - Clinical and Experimental,journal,"0011393X, 18790313",0011393X, 18790313,0.379,48,0.379
Designed Monomers and Polymers,journal,"15685551, 1385772X",15685551, 1385772X,0.379,45,0.379
International Journal of Plasma Environmental Science and Technology,journal,"24350125, 18818692",24350125, 18818692,0.379,16,0.379
International Journal of Spa and Wellness,journal,24721743,24721743,,0.379,13,0.379
Japanese Journal of Infectious Diseases,journal,"13446304, 18842836",13446304, 18842836,0.379,62,0.379
Journal of Applied Analysis and Computation,journal,"2156907X, 21585644",2156907X, 21585644,0.379,33,0.379
Journal of Electrocardiology,journal,"00220736, 15328430",00220736, 15328430,0.379,71,0.379
Journal of Physical Education and Sport,journal,"22478051, 2247806X",22478051, 2247806X,0.379,39,0.379
Monte Carlo Methods and Applications,journal,"09299629, 15693961",09299629, 15693961,0.379,28,0.379
Philosophical Magazine,journal,"14786443, 14786435",14786443, 14786435,0.379,130,0.379
Property Management,journal,02637472,02637472,,0.379,35,0.379
Psychological Studies,journal,"00332968, 09749861",00332968, 09749861,0.379,21,0.379
Culture and Psychology,journal,"14617056, 1354067X",14617056, 1354067X,0.378,58,0.378
International Journal of Speech Technology,journal,"13812416, 15728110",13812416, 15728110,0.378,43,0.378
Monografias de Traduccion e Interpretacion,journal,"18894178, 19899335",18894178, 19899335,0.378,12,0.378
Studies in Language,journal,03784177,03784177,,0.378,42,0.378
Amphibian and Reptile Conservation,journal,"1083446X, 15259153",1083446X, 15259153,0.378,16,0.378
Animal Biodiversity and Conservation,journal,"2014928X, 1578665X",2014928X, 1578665X,0.378,42,0.378
Asia and the Global Economy,journal,26671115,26671115,,0.378,7,0.378
International Forestry Review,journal,14655489,14655489,,0.378,59,0.378
"International Journal of Law, Crime and Justice",journal,17560616,17560616,,0.378,37,0.378
Johnson Matthey Technology Review,journal,20565135,20565135,,0.378,63,0.378
Legal Studies,journal,"1748121X, 02613875",1748121X, 02613875,0.378,33,0.378
Mediterranean Botany,journal,26039109,26039109,,0.378,11,0.378
Ornis Fennica,journal,00305685,00305685,,0.378,35,0.378
Progress in Agricultural Engineering Sciences,journal,1786335X,1786335X,,0.378,12,0.378
Rethinking Marxism,journal,08935696,08935696,,0.378,33,0.378
AppliedChem,journal,26739623,26739623,,0.378,8,0.378
Archivio Italiano di Urologia e Andrologia,journal,"11243562, 22824197",11243562, 22824197,0.378,32,0.378
Astrophysics and Space Science,journal,"0004640X, 1572946X",0004640X, 1572946X,0.378,82,0.378
Gadjah Mada International Journal of Business,journal,"14111128, 23387238",14111128, 23387238,0.378,17,0.378
German Economic Review,journal,"14680475, 14656485",14680475, 14656485,0.378,41,0.378
GFF,journal,11035897,11035897,,0.378,46,0.378
Indian Geotechnical Journal,journal,"09719555, 22773347",09719555, 22773347,0.378,28,0.378
International Journal of Modern Physics B,journal,"02179792, 17936578",02179792, 17936578,0.378,86,0.378
Journal for Nurses in Professional Development,journal,"2169981X, 21699798",2169981X, 21699798,0.378,25,0.378
Kybernetika,journal,"00235954, 1805949X",00235954, 1805949X,0.378,43,0.378
Lake and Reservoir Management,journal,07438141,07438141,,0.378,49,0.378
Miskolc Mathematical Notes,journal,"17872405, 17872413",17872405, 17872413,0.378,27,0.378
Obesities,journal,26734168,26734168,,0.378,7,0.378
Problems of Information Transmission,journal,"00329460, 16083253",00329460, 16083253,0.378,21,0.378
Quanqiu Nengyuan Hulianwang,journal,20965125,20965125,,0.378,20,0.378
Teaching Exceptional Children,journal,"21635684, 00400599",21635684, 00400599,0.378,25,0.378
"IEEE International Conference on Cloud Computing, CLOUD",conference and proceedings,"21596182, 21596190",21596182, 21596190,0.378,41,0.378
"Proceedings - International Conference on Computer Communications and Networks, ICCCN",conference and proceedings,10952055,10952055,,0.378,54,0.378
Christian Bioethics,journal,"17444195, 13803603",17444195, 13803603,0.377,12,0.377
Circulo de Linguistica Aplicada a la Comunicacion,journal,15764737,15764737,,0.377,13,0.377
Estudios Fronterizos,journal,23959134,23959134,,0.377,8,0.377
Jurnal Ilmiah Islam Futura,journal,"14121190, 24077542",14121190, 24077542,0.377,7,0.377
Language Dynamics and Change,journal,"22105832, 22105824",22105832, 22105824,0.377,20,0.377
Adolescents,journal,26737051,26737051,,0.377,8,0.377
Advanced Steel Construction,journal,1816112X,1816112X,,0.377,32,0.377
Canadian Journal of Sociology,journal,03186431,03186431,,0.377,42,0.377
European Journal of Law and Economics,journal,"09291261, 15729990",09291261, 15729990,0.377,38,0.377
Horticultural Reviews,book series,01637851,01637851,,0.377,35,0.377
International Journal of System Assurance Engineering and Management,journal,"09764348, 09756809",09764348, 09756809,0.377,45,0.377
Nursing for Women's Health,journal,"17514851, 1751486X",17514851, 1751486X,0.377,27,0.377
Plasma,journal,25716182,25716182,,0.377,14,0.377
Anemia,journal,"20901267, 20901275",20901267, 20901275,0.377,35,0.377
Asian Pacific Journal of Tropical Biomedicine,journal,"22211691, 25889222",22211691, 25889222,0.377,89,0.377
Compounds,journal,26736918,26736918,,0.377,10,0.377
Current Organic Synthesis,journal,"18756271, 15701794",18756271, 15701794,0.377,57,0.377
Diagnostic Cytopathology,journal,"10970339, 87551039",10970339, 87551039,0.377,75,0.377
European Physical Journal B,journal,"14346028, 14346036",14346028, 14346036,0.377,142,0.377
Health Systems,journal,"20476973, 20476965",20476973, 20476965,0.377,22,0.377
"Hearing, Balance and Communication",journal,"21695725, 21695717",21695725, 21695717,0.377,16,0.377
Hong Kong Physiotherapy Journal,journal,"10137025, 1876441X",10137025, 1876441X,0.377,25,0.377
Journal of Asia-Pacific Business,journal,"15286940, 10599231",15286940, 10599231,0.377,25,0.377
Korean Journal of Neurotrauma,journal,"22348999, 22882243",22348999, 22882243,0.377,12,0.377
Tuijin Jishu/Journal of Propulsion Technology,journal,10014055,10014055,,0.377,28,0.377
Current Aging Science,journal,"18746128, 18746098",18746128, 18746098,0.377,45,0.377
Constitutional Political Economy,journal,"15729966, 10434062",15729966, 10434062,0.376,34,0.376
History of Psychology,journal,"19390610, 10934510",19390610, 10934510,0.376,30,0.376
Medialingvistika,journal,"23120274, 2312296X",23120274, 2312296X,0.376,7,0.376
Popular Music,journal,"14740095, 02611430",14740095, 02611430,0.376,43,0.376
Baltic Journal of Economics,journal,"1406099X, 23344385",1406099X, 23344385,0.376,16,0.376
Computer Methods in Biomechanics and Biomedical Engineering: Imaging and Visualization,journal,"21681163, 21681171",21681163, 21681171,0.376,29,0.376
Contemporary Clinical Dentistry,journal,"09762361, 0976237X",09762361, 0976237X,0.376,41,0.376
i-com,journal,"21966826, 1618162X",21966826, 1618162X,0.376,14,0.376
International Journal of Digital Accounting Research,journal,15778517,15778517,,0.376,20,0.376
International Journal of Green Economics,journal,"17449936, 17449928",17449936, 17449928,0.376,21,0.376
International Journal of Mechanical Engineering Education,journal,"03064190, 20504586",03064190, 20504586,0.376,20,0.376
"Journal of Agriculture, Food Systems, and Community Development",journal,21520801,21520801,,0.376,17,0.376
Journal of Feline Medicine and Surgery Open Reports,journal,20551169,20551169,,0.376,16,0.376
Journal of Strain Analysis for Engineering Design,journal,"03093247, 20413130",03093247, 20413130,0.376,60,0.376
Modern Physics Letters A,journal,"02177323, 17936632",02177323, 17936632,0.376,90,0.376
Monthly Review,journal,00270520,00270520,,0.376,43,0.376
Open Research Europe,journal,27325121,27325121,,0.376,14,0.376
Public Budgeting and Finance,journal,02751100,02751100,,0.376,40,0.376
"Recent patents on food, nutrition & agriculture",journal,"18761429, 22127984",18761429, 22127984,0.376,36,0.376
Residential Treatment for Children and Youth,journal,0886571X,0886571X,,0.376,30,0.376
Studies in Communication Sciences,journal,"22964150, 14244896",22964150, 14244896,0.376,14,0.376
Tribology and Materials,journal,28129717,28129717,,0.376,6,0.376
Biomedical Physics and Engineering Express,journal,20571976,20571976,,0.376,32,0.376
E-Informatica Software Engineering Journal,journal,"18977979, 20844840",18977979, 20844840,0.376,13,0.376
Fixed Point Theory and Algorithms for Sciences and Engineering,journal,"16871812, 16871820",16871812, 16871820,0.376,79,0.376
Geological Bulletin of China,journal,16712552,16712552,,0.376,61,0.376
Indian Journal of Endocrinology and Metabolism,journal,"22309500, 22308210",22309500, 22308210,0.376,47,0.376
International Journal on Software Tools for Technology Transfer,journal,"14332779, 14332787",14332779, 14332787,0.376,60,0.376
Journal of Educational Data Mining,journal,21572100,21572100,,0.376,11,0.376
Journal of Electrical Bioimpedance,journal,18915469,18915469,,0.376,22,0.376
Journal of Molecular Modeling,journal,"16102940, 09485023",16102940, 09485023,0.376,84,0.376
Journal of Operation and Automation in Power Engineering,journal,"24234567, 23224576",24234567, 23224576,0.376,13,0.376
Mining Technology: Transactions of the Institutions of Mining and Metallurgy,journal,"25726668, 25726676",25726668, 25726676,0.376,37,0.376
Sarcoidosis Vasculitis and Diffuse Lung Diseases,journal,"2532179X, 11240490",2532179X, 11240490,0.376,66,0.376
Saudi Journal of Medicine and Medical Sciences,journal,"23214856, 1658631X",23214856, 1658631X,0.376,12,0.376
"IEEE Vehicular Networking Conference, VNC",conference and proceedings,"21579865, 21579857",21579865, 21579857,0.376,37,0.376
"Cultura, Lenguaje y Representacion",journal,"23404981, 16977750",23404981, 16977750,0.375,10,0.375
Journal of Material Culture,journal,"13591835, 14603586",13591835, 14603586,0.375,62,0.375
South Asian Diaspora,journal,"19438184, 19438192",19438184, 19438192,0.375,16,0.375
Acta Ichthyologica et Piscatoria,journal,"01371592, 17341515",01371592, 17341515,0.375,31,0.375
AJO-DO Clinical Companion,journal,26664305,26664305,,0.375,6,0.375
Annals of Economics and Statistics,journal,"21154430, 19683863",21154430, 19683863,0.375,7,0.375
Arid Land Geography,journal,10006060,10006060,,0.375,16,0.375
Baozha Yu Chongji/Explosion and Shock Waves,journal,10011455,10011455,,0.375,34,0.375
Bulletin of Insectology,journal,"17218861, 22830332",17218861, 22830332,0.375,43,0.375
Geographica Helvetica,journal,"00167312, 21948798",00167312, 21948798,0.375,27,0.375
Hasanuddin Law Review,journal,"24429880, 24429899",24429880, 24429899,0.375,9,0.375
International Journal of Tropical Insect Science,journal,"17427584, 17427592",17427584, 17427592,0.375,35,0.375
Journal of Asian and African Studies,journal,"00219096, 17452538",00219096, 17452538,0.375,35,0.375
Labor Studies Journal,journal,0160449X,0160449X,,0.375,28,0.375
Minnesota Law Review,journal,00265535,00265535,,0.375,48,0.375
Australian Journal of Learning Difficulties,journal,"19404158, 19404166",19404158, 19404166,0.375,19,0.375
Education as Change,journal,"19479417, 16823206",19479417, 16823206,0.375,23,0.375
Electronic Journal of Information Systems in Developing Countries,journal,16814835,16814835,,0.375,51,0.375
International Journal of Mental Health Promotion,journal,"14623730, 20498543",14623730, 20498543,0.375,16,0.375
Journal of Psychophysiology,journal,"21512124, 02698803",21512124, 02698803,0.375,52,0.375
Oilfield Chemistry,journal,10004092,10004092,,0.375,14,0.375
OPEC Energy Review,journal,"17530229, 17530237",17530229, 17530237,0.375,15,0.375
Respiratory Medicine: X,journal,25901435,25901435,,0.375,8,0.375
Turkish Archives of Pediatrics,journal,27576256,27576256,,0.375,24,0.375
English in Education,journal,"17548845, 04250494",17548845, 04250494,0.374,26,0.374
Metaphilosophy,journal,"14679973, 00261068",14679973, 00261068,0.374,47,0.374
Res Publica,journal,"13564765, 15728692",13564765, 15728692,0.374,26,0.374
Signs and Society,journal,"23264497, 23264489",23264497, 23264489,0.374,15,0.374
Australian Journal of Zoology,journal,0004959X,0004959X,,0.374,52,0.374
Chemical Engineering and Technology,journal,"09307516, 15214125",09307516, 15214125,0.374,99,0.374
Geomatica,journal,"19254296, 11951036",19254296, 11951036,0.374,26,0.374
Geophysical and Astrophysical Fluid Dynamics,journal,"10290419, 03091929",10290419, 03091929,0.374,41,0.374
International Journal of Care and Caring,journal,"2397883X, 23978821",2397883X, 23978821,0.374,17,0.374
Journal of Animal and Feed Sciences,journal,"12301388, 27198448",12301388, 27198448,0.374,42,0.374
Journal of Antitrust Enforcement,journal,"20500688, 20500696",20500688, 20500696,0.374,13,0.374
Journal of Pharmaceutical Innovation,journal,"18725120, 19398042",18725120, 19398042,0.374,40,0.374
Journal of Plant Registrations,journal,"19365209, 19403496",19365209, 19403496,0.374,29,0.374
Papers in Applied Geography,journal,"2375494X, 23754931",2375494X, 23754931,0.374,17,0.374
Research Journal of Textile and Apparel,journal,"15606074, 25158090",15606074, 25158090,0.374,25,0.374
Scottish Journal of Political Economy,journal,"14679485, 00369292",14679485, 00369292,0.374,55,0.374
Access Microbiology,journal,25168290,25168290,,0.374,16,0.374
Bulletin Mathematique de la Societe des Sciences Mathematiques de Roumanie,journal,12203874,12203874,,0.374,24,0.374
Chemistry Letters,journal,"03667022, 13480715",03667022, 13480715,0.374,126,0.374
Functional Analysis and its Applications,journal,"15738485, 00162663",15738485, 00162663,0.374,30,0.374
Hematology Reports,journal,"20388322, 20388330",20388322, 20388330,0.374,19,0.374
IET Signal Processing,journal,"17519675, 17519683",17519675, 17519683,0.374,54,0.374
International Journal of Integrated Supply Management,journal,"14775360, 17418097",14775360, 17418097,0.374,25,0.374
"Journal of Environmental Science and Health - Part B Pesticides, Food Contaminants, and Agricultural Wastes",journal,"03601234, 15324109",03601234, 15324109,0.374,65,0.374
Journal of Freshwater Ecology,journal,02705060,02705060,,0.374,43,0.374
Journal of Membrane Science and Research,journal,24765406,24765406,,0.374,25,0.374
"Laparoscopic, Endoscopic, and Robotic Surgery",journal,24689009,24689009,,0.374,8,0.374
Molecular Simulation,journal,"08927022, 10290435",08927022, 10290435,0.374,74,0.374
North American Journal of Aquaculture,journal,"15222055, 15488454",15222055, 15488454,0.374,50,0.374
Palestine Journal of Mathematics,journal,22195688,22195688,,0.374,10,0.374
Rubber Chemistry and Technology,journal,00359475,00359475,,0.374,77,0.374
Scottish Journal of Geology,journal,"00369276, 20414951",00369276, 20414951,0.374,26,0.374
Stratigraphy and Geological Correlation,journal,"08695938, 15556263",08695938, 15556263,0.374,45,0.374
"Proceedings - IEEE International Conference on Cluster Computing, ICCC",conference and proceedings,15525244,15525244,,0.374,52,0.374
Dacoromania Litteraria,journal,23605189,23605189,,0.373,4,0.373
East Asian Pragmatics,journal,20557760,20557760,,0.373,8,0.373
Journal of English as a Lingua Franca,journal,"21919216, 2191933X",21919216, 2191933X,0.373,32,0.373
Journal of Ethics,journal,13824554,13824554,,0.373,44,0.373
Theory and Event,journal,"25726633, 1092311X",25726633, 1092311X,0.373,10,0.373
Acta Chiropterologica,journal,15081109,15081109,,0.373,46,0.373
Biosurface and Biotribology,journal,24054518,24054518,,0.373,10,0.373
HortTechnology,journal,"19437714, 10630198",19437714, 10630198,0.373,68,0.373
Journal of Ayurveda and Integrative Medicine,journal,"09759476, 09762809",09759476, 09762809,0.373,42,0.373
Proceedings of the Institution of Civil Engineers: Ground Improvement,journal,"17550750, 17550769",17550750, 17550769,0.373,51,0.373
Shock and Vibration,journal,"10709622, 18759203",10709622, 18759203,0.373,62,0.373
Zhongnan Daxue Xuebao (Ziran Kexue Ban)/Journal of Central South University (Science and Technology),journal,16727207,16727207,,0.373,34,0.373
Adults Learning Mathematics International Journal,journal,17441803,17441803,,0.373,4,0.373
AIMS Materials Science,journal,"23720484, 23720468",23720484, 23720468,0.373,34,0.373
Applied Solar Energy (English translation of Geliotekhnika),journal,"0003701X, 19349424",0003701X, 19349424,0.373,26,0.373
Clinical and Experimental Neuroimmunology,journal,17591961,17591961,,0.373,23,0.373
Gastroenterologia y Hepatologia,journal,"15789519, 02105705",15789519, 02105705,0.373,35,0.373
"Global Health, Epidemiology and Genomics",journal,20544200,20544200,,0.373,18,0.373
International Journal of Circuit Theory and Applications,journal,"1097007X, 00989886",1097007X, 00989886,0.373,58,0.373
Journal of Natural Disasters,journal,10044574,10044574,,0.373,28,0.373
Journal of Statistical Mechanics: Theory and Experiment,journal,17425468,17425468,,0.373,95,0.373
Mathematics and Mechanics of Complex Systems,journal,"23253444, 23267186",23253444, 23267186,0.373,21,0.373
Medical Dosimetry,journal,"18734022, 09583947",18734022, 09583947,0.373,48,0.373
NASN School Nurses,journal,"19426038, 1942602X",19426038, 1942602X,0.373,17,0.373
Progress in Microbes and Molecular Biology,journal,26371049,26371049,,0.373,23,0.373
Revista de Educacion,journal,"1988592X, 00348082",1988592X, 00348082,0.373,40,0.373
Sovremennye Tehnologii v Medicine,journal,"2309995X, 20764243",2309995X, 20764243,0.373,18,0.373
Al-'Adalah,journal,"08541272, 2614171X",08541272, 2614171X,0.372,5,0.372
Cognitive Linguistic Studies,journal,"22138722, 22138730",22138722, 22138730,0.372,7,0.372
Conflict and Society,journal,"21644543, 21644551",21644543, 21644551,0.372,8,0.372
Jezyk Polski,journal,00216941,00216941,,0.372,7,0.372
Philosophy of the Social Sciences,journal,"15527441, 00483931",15527441, 00483931,0.372,44,0.372
Studies in English Language and Education,journal,"24610275, 23552794",24610275, 23552794,0.372,15,0.372
"Vestnik Sankt-Peterburgskogo Universiteta, Yazyk i Literatura",journal,"25419366, 25419358",25419366, 25419358,0.372,7,0.372
Acta Herpetologica,journal,"18279635, 18279643",18279635, 18279643,0.372,21,0.372
Capital Markets Law Journal,journal,"17507227, 17507219",17507227, 17507219,0.372,12,0.372
Computer Aided Geometric Design,journal,01678396,01678396,,0.372,79,0.372
Entrepreneurship Education,journal,"25208152, 25208144",25208152, 25208144,0.372,4,0.372
FME Transactions,journal,14512092,14512092,,0.372,33,0.372
International Journal of Palliative Nursing,journal,13576321,13576321,,0.372,49,0.372
Journal of Public Child Welfare,journal,"15548732, 15548740",15548732, 15548740,0.372,30,0.372
Mesopotamia Journal of Agriculture,journal,"1815316X, 22249796",1815316X, 22249796,0.372,5,0.372
Metrology,journal,26738244,26738244,,0.372,8,0.372
Nordic Journal of Migration Research,journal,1799649X,1799649X,,0.372,11,0.372
"Proceedings of the Institution of Mechanical Engineers, Part G: Journal of Aerospace Engineering",journal,09544100,09544100,,0.372,55,0.372
Radiation Measurements,journal,13504487,13504487,,0.372,112,0.372
Turczaninowia,journal,"15607267, 15607259",15607267, 15607259,0.372,11,0.372
AI Communications,journal,09217126,09217126,,0.372,46,0.372
Annals of Thoracic and Cardiovascular Surgery,journal,13411098,13411098,,0.372,49,0.372
Biopreservation and Biobanking,journal,"19475535, 19475543",19475535, 19475543,0.372,46,0.372
Bulletin of Economic Research,journal,"03073378, 14678586",03073378, 14678586,0.372,37,0.372
Education for Health: Change in Learning and Practice,journal,"14695804, 13576283",14695804, 13576283,0.372,42,0.372
International Journal of Applied and Computational Mathematics,journal,"23495103, 21995796",23495103, 21995796,0.372,36,0.372
International Journal of Micro Air Vehicles,journal,17568293,17568293,,0.372,31,0.372
Journal of Relationships Research,journal,18380956,18380956,,0.372,18,0.372
Polycyclic Aromatic Compounds,journal,"15635333, 10406638",15635333, 10406638,0.372,44,0.372
"TPM - Testing, Psychometrics, Methodology in Applied Psychology",journal,19726325,19726325,,0.372,31,0.372
Twin Research and Human Genetics,journal,"18392628, 18324274",18392628, 18324274,0.372,95,0.372
Proceedings - International Conference on Pattern Recognition,conference and proceedings,10514651,10514651,,0.372,127,0.372
International Journal on Engineering Applications,journal,"25332295, 22812881",25332295, 22812881,0.371,14,0.371
Journal for the Study of Spirituality,journal,"20440251, 20440243",20440251, 20440243,0.371,9,0.371
Journal of Management History,journal,"17587751, 17511348",17587751, 17511348,0.371,30,0.371
Journal of Museum Education,journal,"10598650, 20516169",10598650, 20516169,0.371,15,0.371
Journal of the North Atlantic,journal,"19351933, 19351984",19351933, 19351984,0.371,11,0.371
Open Linguistics,journal,23009969,23009969,,0.371,19,0.371
ACM Inroads,trade journal,"21532184, 21532192",21532184, 21532192,0.371,31,0.371
Journal of Maxillofacial and Oral Surgery,journal,"0974942X, 09728279",0974942X, 09728279,0.371,36,0.371
Oceania,journal,00298077,00298077,,0.371,30,0.371
Open Computer Science,journal,22991093,22991093,,0.371,24,0.371
Science and Technology Studies,journal,22434690,22434690,,0.371,24,0.371
Advances in Experimental Medicine and Biology,book series,"00652598, 22148019",00652598, 22148019,0.371,167,0.371
Algebra and Discrete Mathematics,journal,17263255,17263255,,0.371,12,0.371
High Performance Polymers,journal,"09540083, 13616412",09540083, 13616412,0.371,48,0.371
Innovations in Systems and Software Engineering,journal,"16145054, 16145046",16145054, 16145046,0.371,32,0.371
International Journal of Polymer Analysis and Characterization,journal,"15635341, 1023666X",15635341, 1023666X,0.371,58,0.371
JMIR Bioinformatics and Biotechnology,journal,25633570,25633570,,0.371,6,0.371
Journal of Applied Water Engineering and Research,journal,23249676,23249676,,0.371,18,0.371
Journal of Economic Issues,journal,00213624,00213624,,0.371,58,0.371
Journal of Enabling Technologies,journal,23986263,23986263,,0.371,26,0.371
Journal of Food Quality and Hazards Control,journal,"2345685X, 23456825",2345685X, 23456825,0.371,18,0.371
Journal of the Australian Ceramic Society,journal,"25101560, 25101579",25101560, 25101579,0.371,32,0.371
"Medicine, Conflict and Survival",journal,"13623699, 17439396",13623699, 17439396,0.371,25,0.371
Oceanology,journal,"00014370, 15318508",00014370, 15318508,0.371,35,0.371
Services Marketing Quarterly,journal,"15332977, 15332969",15332977, 15332969,0.371,37,0.371
Architecture,journal,26738945,26738945,,0.37,8,0.37
