ISSN	Titulo	Estrato	Classificação
1984-7505	ARETÉ (MANAUS)	A1	
2317-3882	ARGUMENTA	A4	
2448-2803	ARGUMENTOS PRÓ-EDUCAÇÃO - REVISTA DE EDUCAÇÃO DA UNIVÁS	B1	
2527-2551	ARGUMENTOS- REVISTA DO DEPARTAMENTO DE CIÊNCIAS SOCIAIS DA UNIMONTES	B1	
2359-6880	ARGUMENTUM (UNIMAR)	B3	
2176-9575	ARGUMENTUM (VITÓRIA)	A1	
0095-327X	ARMED FORCES AND SOCIETY	A2	
1809-6298	ARQUITEXTOS (SÃO PAULO)	A3	
0102-0935	ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA	B1	
1678-4162	ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA (ONLINE)	B1	
1809-5267	ARQUIVOS BRASILEIROS DE PSICOLOGIA (ONLINE)	A2	
1806-4280	ARQUIVOS CATARINENSES DE MEDICINA (ONLINE)	B2	
2318-3691	ARQUIVOS DE CIÊNCIAS DA SAÚDE	B1	
1982-114X	ARQUIVOS DE CIÊNCIAS DA SAÚDE DA UNIPAR	B1	
0374-5686	ARQUIVOS DE CIÊNCIAS DO MAR	B3	
2318-5422	ARQUIVOS DO CMD	B4	
0020-3653	ARQUIVOS DO INSTITUTO BIOLÓGICO (IMPRESSO)	B4	
1808-1657	ARQUIVOS DO INSTITUTO BIOLÓGICO (ONLINE)	B4	
1980-959X	ARQUIVOS DO MUDI	B3	
2175-0106	ARS VETERINÁRIA (ONLINE)	B4	
2357-9978	ART RESEARCH JOURNAL	A1	
2525-8303	ARTICULANDO E CONSTRUINDO SABERES	B2	
2374-4979	ARTIFICIAL INTELLIGENCE AND APPLICATIONS	B3	
0160-564X	ARTIFICIAL ORGANS	A4	
2525-7099	ARTIGOS ESTRATÉGICOS	B1	
2674-8061	ARTIGOS GIFE	B4	
2577-8250	ARTS & HUMANITIES OPEN ACCESS JOURNAL	B3	
1137-7038	ARXIUS DE CIÈNCIES SOCIALS	B1	
1415-7950	ASAS DA PALAVRA (UNAMA)	A4	
1809-709X	ASEPHALLUS (ONLINE)	B1	
2071-1395	ASIA PACIFIC JOURNAL OF INNOVATION AND ENTREPRENEURSHIP	A2	
1355-5855	ASIA PACIFIC JOURNAL OF MARKETING AND LOGISTICS	A2	
0119-8386	ASIA PACIFIC SOCIAL SCIENCE REVIEW	A4	
1472-4782	ASIAN BUSINESS & MANAGEMENT	A2	
2443-4175	ASIAN JOURNAL OF ACCOUNTING RESEARCH	A3	
2321-0893	ASIAN JOURNAL OF APPLIED SCIENCES	C	
2398-4295	ASIAN JOURNAL OF BEHAVIOURAL STUDIES (ONLINE)	B1	
1911-2025	ASIAN SOCIAL SCIENCE	C	
1757-4323	ASIA-PACIFIC JOURNAL OF BUSINESS ADMINISTRATION	A3	
2238-3069	ÁSKESIS	B3	
1040-0435	ASSISTIVE TECHNOLOGY	A4	
1538-4365	ASTROPHYSICAL JOURNAL. SUPPLEMENT SERIES	A1	
2357-7614	ATAS DE SAÚDE AMBIENTAL	B2	
2594-8407	ATELIÊ DO TURISMO	B3	
1982-1956	ATELIÊ GEOGRÁFICO (UFG)	A3	
2526-0669	ATEN@	C	
2316-1833	ATHENAS - REVISTA DE DIREITO, POLÍTICA E FILOSOFIA	B2	
1578-8946	ATHENEA DIGITAL	A2	
2241-794X	ATHENS JOURNAL OF BUSINESS & ECONOMICS	B1	
2241-8148	ATHENS JOURNAL OF TOURISM	B1	
1809-5720	ATITUDE (PORTO ALEGRE)	B4	
2468-6719	ATLAS TOURISM AND LEISURE REVIEW	B4	
0187-6236	ATMÓSFERA (MÉXICO)	B2	
1680-7375	ATMOSPHERIC CHEMISTRY AND PHYSICS DISCUSSION (ONLINE)	C	
1680-7324	ATMOSPHERIC CHEMISTRY AND PHYSICS (ONLINE)	A1	
1809-0354	ATOS DE PESQUISA EM EDUCAÇÃO (FURB)	A3	
2237-826X	ATOZ: NOVAS PRÁTICAS EM INFORMAÇÃO E CONHECIMENTO	A4	
2595-3966	ATUACAO	B3	
2526-8031	ATURÁ - REVISTA PAN-AMAZÔNICA DE COMUNICAÇÃO	B2	
1431-5254	ATW. INTERNATIONAL JOURNAL FOR NUCLEAR POWER	B4	
2316-3852	AUGUSTO GUZZO REVISTA ACADÊMICA	B3	
1518-9597	AUGUSTO GUZZO REVISTA ACADÊMICA (SÃO PAULO)	B3	
1982-6672	AURORA (PUCSP. ONLINE)	B1	
2238-6912	AUSTRAL - BRAZILIAN JOURNAL OF STRATEGY & INTERNATIONAL RELATIONS	B1	
2238-6262	AUSTRAL: REVISTA BRASILEIRA DE ESTRATÉGIA E RELAÇÕES INTERNACIONAIS	B1	
1441-3582	AUSTRALASIAN MARKETING JOURNAL	A2	
1835-2561	AUSTRALIAN ACCOUNTING REVIEW	A3	
1447-4328	AUSTRALIAN JOURNAL OF ADVANCED NURSING (ONLINE)	A4	
1991-8178	AUSTRALIAN JOURNAL OF BASIC AND APPLIED SCIENCES	B4	
1835-2693	AUSTRALIAN JOURNAL OF CROP SCIENCE	B2	
1835-2707	AUSTRALIAN JOURNAL OF CROP SCIENCE (ONLINE)	B2	
0313-6647	AUSTRALIAN JOURNAL OF PUBLIC ADMINISTRATION	A2	
0928-8910	AUTOMATED SOFTWARE ENGINEERING	A2	
2175-3431	AVALIAÇÃO PSICOLÓGICA	A2	
1982-5765	AVALIAÇÃO: REVISTA DA AVALIAÇÃO DA EDUCAÇÃO SUPERIOR	A1	
1414-4077	AVALIAÇÃO: REVISTA DA AVALIAÇÃO DA EDUCAÇÃO SUPERIOR	A1	
2314-1433	AVANCES EN ENERGÍAS RENOVABLES Y MEDIO AMBIENTE - AVERMA	B2	
2145-4515	AVANCES EN PSICOLOGÍA LATINOAMERICANA	A1	
2179-703X	AVIATION IN FOCUS	B3	
2446-6085	AYVU - REVISTA DE PSICOLOGIA	B2	
0103-8117	BAHIA ANALISE & DADOS	B3	
1807-7692	BAR. BRAZILIAN ADMINISTRATION REVIEW	A2	
0104-6578	BARBARÓI (UNISC. IMPRESSO)	B1	
1982-2022	BARBARÓI (UNISC. ONLINE)	B1	
1984-8196	BASE - REVISTA DE ADMINISTRAÇÃO E CONTABILIDADE DA UNISINOS	A3	
1807-054X	BASE (UNISINOS)	A3	
1808-2386	BBR. BRAZILIAN BUSINESS REVIEW	A2	
1807-734X	BBR. BRAZILIAN BUSINESS REVIEW (EDIÇÃO EM PORTUGUÊS. ONLINE)	A2	
0005-772X	BEE WORLD	B4	
2687-6272	BEHAVIOR STUDIES IN ORGANIZATIONS	B3	
1744-9081	BEHAVIORAL AND BRAIN FUNCTIONS	A2	
0144-929X	BEHAVIOUR & INFORMATION TECHNOLOGY	A1	
1362-3001	BEHAVIOUR & INFORMATION TECHNOLOGY (ONLINE)	A1	
0166-4328	BEHAVIOURAL BRAIN RESEARCH	A2	
0376-6357	BEHAVIOURAL PROCESSES (PRINT)	A2	
1463-5771	BENCHMARKING: AN INTERNATIONAL JOURNAL	A1	
2212-7984	BENTHAM SCIENCE PUBLISHERS LTD.	A4	
1516-8085	BIB. REVISTA BRASILEIRA DE INFORMAÇÃO BIBLIOGRÁFICA EM CIÊNCIAS SOCIAIS	A4	
1809-4775	BIBLIONLINE (JOÃO PESSOA)	B1	
1562-4730	BIBLIOS (LIMA)	A3	
1984-4123	BIBLIOTECA DIGITAL FÓRUM DE CONTRATAÇÃO E GESTÃO PÚBLICA (ONLINE)	B1	
0102-4388	BIBLOS (RIO GRANDE)	B3	
2117-4458	BIO WEB OF CONFERENCES	B4	
1878-8181	BIOCATALYSIS AND AGRICULTURAL BIOTECHNOLOGY	A3	
0305-1978	BIOCHEMICAL SYSTEMATICS AND ECOLOGY	B1	
0300-9084	BIOCHIMIE (PARIS. PRINT)	A2	
2177-1332	BIODIVERSIDADE	B4	
