ISSN	Titulo	Estrato	Classificação
0102-0935	ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA	B2
0102-0935	ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA	B2
1678-4162	ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA (ONLINE)	B2
0004-2730	ARQUIVOS BRASILEIROS DE ENDOCRINOLOGIA E METABOLOGIA (IMPRESSO)	B2
0374-5686	ARQUIVOS DE CIÊNCIAS DO MAR	B5
1415-8167	ARQUIVOS DE CIÊNCIAS VETERINÁRIAS E ZOOLOGIA DA UNIPAR	B3
1982-1131	ARQUIVOS DE CIÊNCIAS VETERINÁRIAS E ZOOLOGIA DA UNIPAR	B3
1415-8167	ARQUIVOS DE CIÊNCIAS VETERINÁRIAS E ZOOLOGIA DA UNIPAR (IMPRESSO)	B3
2238-9970	ARQUIVOS DE PESQUISA ANIMAL	B5
0365-5865	ARQUIVOS DO INSTITUTO BIOLÓGICO	B1
0020-3653	ARQUIVOS DO INSTITUTO BIOLÓGICO (IMPRESSO)	B1
1808-1657	ARQUIVOS DO INSTITUTO BIOLÓGICO (ONLINE)	B1
2446-5666	ARRUDEA	B5
0102-6380	ARS VETERINÁRIA	B4
0102-6380	ARS VETERINÁRIA (IMPRESSO)	B4
2175-0106	ARS VETERINÁRIA (ONLINE)	B4
1467-8039	ARTHROPOD STRUCTURE & DEVELOPMENT	A2
1863-7221	ARTHROPOD SYSTEMATICS & PHYLOGENY	A2
1872-8855	ARTHROPOD-PLANT INTERACTIONS	A2
1872-8847	ARTHROPOD-PLANT INTERACTIONS (ONLINE)	A2
1872-8855	ARTHROPOD-PLANT INTERACTIONS (PRINT)	A2
2233-8276	ASIA PACIFIC ALERGY (PRINT)	B5
2319-2801	ASIAN ACADEMIC RESEARCH JOURNAL OF MULTIDISCIPLINARY	B2
1819-1878	ASIAN JOURNAL OF ANIMAL SCIENCES	C 
2231-2560	ASIAN JOURNAL OF BIOCHEMICAL AND PHARMACEUTICAL RESEARCH	B2
0972-3005	ASIAN JOURNAL OF MICROBIOLOGY, BIOTECHNOLOGY AND ENVIRONMENTAL SCIENCE	B1
2221-1691	ASIAN PACIFIC JOURNAL OF TROPICAL BIOMEDICINE	B1
1011-2367	ASIAN-AUSTRALASIAN JOURNAL OF ANIMAL SCIENCES (PRINT)	B5
1976-5517	ASIAN-AUSTRALIANS JOURNAL OF ANIMAL SCIENCE	B5
0265-1491	ASPECTS OF APPLIED BIOLOGY	C 
1863-8171	ASTA. ADVANCES IN STATISTICAL ANALYSIS (PRINT)	B1
1531-1074	ASTROBIOLOGY (LARCHMONT)	A2
2357-7614	ATAS DE SAÚDE AMBIENTAL	B5
1982-1956	ATELIÊ GEOGRÁFICO (UFG)	B5
2241-8466	ATHENS JOURNAL OF SCIENCES	B5
2241-2891	ATINER'S CONFERENCE PAPER SERIES, NO: ART2012-0216	C 
2160-0414	ATMOSPHERIC AND CLIMATE SCIENCE (PRINT)	B5
